CustomerID,Age,Gender,Call_Duration_Mins,Data_Usage_GB,Num_Complaints,Recharge_Frequency,Plan_Type,Customer_Service_Calls,Churn
CUST_008008,62.0,Female,504.1155280320716,16.255934384175145,3,5,prepaid,0,0
CUST_001697,24.0,Female,326.11048787207005,11.941920786403763,2,7,prepaid,2,0
CUST_030817,45.0,Male,18.92423426112189,19.87497034234683,4,5,Prepaid,0,0
CUST_004564,43.0,,16.38406611121108,36.990378111203434,2,4,Prepaid,0,1
CUST_001689,44.0,Female,1047.5214528046702,19.865254789519103,0,3,POSTPAID,2,0
CUST_045632,20.0,Male,234.94439300251713,14.801206306875208,1,3,PREPAID,1,0
CUST_040133,57.0,Male,245.30250230616107,13.072058093698356,2,1,POSTPAID,2,0
CUST_023213,69.0,Male,43.776082596927615,26.664529046692525,1,2,Postpaid,2,0
CUST_014705,18.0,female,231.0689342021507,,0,2,Prepaid,0,1
CUST_014877,53.0,Male,89.65953888755907,22.675591515092403,1,1,Prepaid,1,0
CUST_029495,33.0,Male,288.5581227963927,12.355511067104555,3,3,POSTPAID,0,0
CUST_032998,31.0,F,37.24066912689915,6.261903233704821,3,4,Postpaid,1,0
CUST_018392,57.0,Female,482.54785311866306,13.353011264148135,1,2,postpaid,0,1
CUST_034730,33.0,Male,-649.397537341522,18.00074654961326,2,1,Postpaid,1,0
CUST_028120,18.0,Male,448.1505278710012,14.358558637809129,0,2,Postpaid,0,1
CUST_005589,57.0,Male,70.99892422869162,14.472383770206063,2,0,PREPAID,0,0
CUST_001958,87.0,male,574.1116944517966,21.236844168326247,2,3,postpaid,0,0
CUST_029298,21.0,male,166.1164953213253,17.294650629098182,2,4,postpaid,0,0
CUST_048210,18.0,Male,219.17333256020328,5.6338879528873065,1,0,prepaid,0,0
CUST_040218,38.0,Male,45.187496350798895,9.337523820965027,1,5,Postpaid,0,0
CUST_042074,42.0,Male,203.02337891451884,13.338460660113057,1,2,PREPAID,0,0
CUST_049647,27.0,Male,23.5788971945287,14.038551004476165,2,4,Prepaid,0,0
CUST_030860,52.0,Female,468.1651686517733,22.314734037430444,0,3,Postpaid,3,1
CUST_016654,18.0,female,315.3544450703629,46.810834670556815,2,2,Prepaid,2,0
CUST_035281,65.0,Male,1227.5652851924094,0.0,0,4,POSTPAID,0,0
CUST_018202,40.0,Female,5.1298212880503185,22.447872924681036,1,3,Prepaid,0,0
CUST_038820,33.0,female,74.74043920303221,18.875250637272696,0,3,PREPAID,2,0
CUST_013752,54.0,Male,144.87177983264692,4.090334127226125,2,3,Postpaid,0,0
CUST_005566,50.0,male,468.08898261948656,26.1371274919602,0,3,POSTPAID,1,0
CUST_000278,30.0,F,435.3965628666089,7.153162937502509,1,4,postpaid,0,0
CUST_037082,66.0,Female,591.4657389391067,10.763097297391983,1,6,postpaid,0,0
CUST_046284,62.0,M,38.14750818314022,9.02921677614215,1,2,postpaid,0,0
CUST_041674,26.0,Male,168.22088731906516,27.740388979606312,1,2,Prepaid,1,0
CUST_036895,32.0,M,711.0152079883875,12.237493415970627,2,6,POSTPAID,0,0
